age_group,style_preference,color_preference,shopping_frequency,recent_purchase,spending_category,shopping_occasion,interest,fit_preference,fabric_preference,season_shopping,gender,subcategory,article_type
25–34,Trendy,Black,Weekly,Jacket,Tops,Travel,Trendy,Slim,Blended,Winter,Unisex,Outerwear,Jacket
Under 18,Professional,Bright,Weekly,Watch,Bottoms,Travel,Comfort,Regular,Wool,Summer,Unisex,Bottoms,Analog Watch
Under 18,Casual,Bright,Weekly,Jacket,Accessories,Casual Outings,Trendy,Slim,Polyester,Summer,Unisex,Tops,Jacket
35–44,Casual,Bright,Every 2–3 months,Watch,Accessories,Sports/Fitness,Designer,Slim,Cotton,Winter,Unisex,Accessories,Smartwatch
25–34,Trendy,Blue,Every 2–3 months,Jeans,Footwear,Travel,Eco-friendly,Regular,Linen,Winter,Unisex,Footwear,Jeans
45+,Sporty,Neutral,Monthly,Jeans,Footwear,Travel,Trendy,Regular,Polyester,Summer,Unisex,Footwear,Jeans
25–34,Sporty,Grey,Monthly,Cap,Bottoms,Events/Parties,Comfort,Regular,Linen,All-season,Unisex,Bottoms,Cap
35–44,Professional,Grey,Weekly,T-shirt,Outerwear,Events/Parties,Trendy,Slim,Wool,All-season,Unisex,Tops,Plain Cotton T-shirt
35–44,Trendy,Black,Rarely,Jeans,Tops,Work,Value-for-money,Oversized,Blended,All-season,Unisex,Tops,Jeans
25–34,Casual,Blue,Rarely,T-shirt,Footwear,Casual Outings,Comfort,Oversized,Polyester,Summer,Unisex,Footwear,Plain Cotton T-shirt
35–44,Sporty,Blue,Every 2–3 months,Jeans,Accessories,Work,Designer,Regular,Polyester,Winter,Men,Accessories,Jeans
25–34,Trendy,Blue,Every 2–3 months,Sneakers,Bottoms,Events/Parties,Eco-friendly,Oversized,Wool,Summer,Unisex,Footwear,Casual Sneakers
18–24,Sporty,Red,Every 2–3 months,Jeans,Tops,Sports/Fitness,Trendy,Regular,Cotton,Winter,Unisex,Outerwear,Jeans
25–34,Sporty,White,Monthly,Jacket,Bottoms,Events/Parties,Comfort,Slim,Blended,All-season,Unisex,Bottoms,Jacket
25–34,Casual,Red,Monthly,Hoodie,Tops,Casual Outings,Value-for-money,Oversized,Polyester,All-season,Unisex,Tops,Hoodie
35–44,Classic,White,Every 2–3 months,Cap,Tops,Events/Parties,Comfort,Slim,Blended,Winter,Unisex,Accessories,Cap
35–44,Professional,Blue,Every 2–3 months,Jacket,Footwear,Casual Outings,Value-for-money,Oversized,Polyester,Winter,Unisex,Footwear,Jacket
Under 18,Professional,Blue,Every 2–3 months,Hoodie,Bottoms,Casual Outings,Designer,Slim,Blended,Summer,Unisex,Tops,Hoodie
Under 18,Casual,Red,Rarely,Shirt,Bottoms,Casual Outings,Eco-friendly,Oversized,Linen,All-season,Unisex,Tops,Shirt
18–24,Sporty,Red,Monthly,Jacket,Accessories,Casual Outings,Designer,Slim,Polyester,Summer,Unisex,Tops,Jacket
Under 18,Trendy,White,Rarely,Shirt,Accessories,Casual Outings,Trendy,Slim,Blended,Summer,Unisex,Tops,Shirt
25–34,Sporty,Grey,Rarely,T-shirt,Footwear,Sports/Fitness,Comfort,Oversized,Cotton,Summer,Unisex,Footwear,Plain Cotton T-shirt
35–44,Casual,White,Every 2–3 months,T-shirt,Footwear,Work,Value-for-money,Slim,Linen,All-season,Unisex,Footwear,Plain Cotton T-shirt
Under 18,Professional,Red,Every 2–3 months,Sneakers,Outerwear,Travel,Value-for-money,Slim,Linen,Summer,Women,Footwear,Casual Sneakers
Under 18,Sporty,Neutral,Weekly,Jeans,Accessories,Work,Comfort,Slim,Cotton,Summer,Unisex,Accessories,Jeans
18–24,Professional,Red,Weekly,Jacket,Tops,Casual Outings,Comfort,Oversized,Blended,Summer,Women,Tops,Jacket
18–24,Trendy,Neutral,Rarely,Shirt,Bottoms,Sports/Fitness,Trendy,Oversized,Wool,Summer,Unisex,Tops,Shirt
25–34,Professional,Black,Monthly,Hoodie,Footwear,Events/Parties,Designer,Slim,Cotton,Summer,Unisex,Footwear,Hoodie
35–44,Professional,Red,Every 2–3 months,T-shirt,Bottoms,Sports/Fitness,Value-for-money,Slim,Blended,Summer,Women,Tops,Plain Cotton T-shirt
18–24,Classic,Black,Every 2–3 months,Jeans,Bottoms,Casual Outings,Trendy,Oversized,Cotton,All-season,Unisex,Tops,Jeans
Under 18,Classic,Grey,Rarely,T-shirt,Outerwear,Sports/Fitness,Designer,Oversized,Cotton,Summer,Unisex,Tops,Plain Cotton T-shirt
35–44,Classic,White,Weekly,Hoodie,Accessories,Sports/Fitness,Trendy,Slim,Polyester,Winter,Unisex,Tops,Hoodie
35–44,Professional,Neutral,Monthly,Jeans,Footwear,Casual Outings,Value-for-money,Slim,Blended,Summer,Unisex,Footwear,Jeans
Under 18,Casual,White,Weekly,Jeans,Bottoms,Sports/Fitness,Comfort,Slim,Wool,Summer,Unisex,Bottoms,Jeans
18–24,Professional,Black,Weekly,Shirt,Footwear,Travel,Comfort,Regular,Polyester,All-season,Unisex,Footwear,Shirt
Under 18,Casual,Neutral,Weekly,Shirt,Tops,Travel,Designer,Oversized,Cotton,All-season,Unisex,Tops,Shirt
35–44,Casual,White,Weekly,Jacket,Outerwear,Sports/Fitness,Eco-friendly,Regular,Cotton,Winter,Unisex,Outerwear,Jacket
45+,Classic,Red,Every 2–3 months,Jacket,Tops,Events/Parties,Designer,Oversized,Cotton,Winter,Unisex,Outerwear,Jacket
45+,Sporty,Blue,Every 2–3 months,Watch,Footwear,Casual Outings,Eco-friendly,Oversized,Blended,All-season,Unisex,Footwear,Smartwatch
25–34,Trendy,Black,Weekly,Cap,Footwear,Travel,Trendy,Oversized,Blended,All-season,Unisex,Footwear,Cap
Under 18,Classic,White,Monthly,Watch,Accessories,Events/Parties,Trendy,Oversized,Polyester,Summer,Unisex,Accessories,Analog Watch
Under 18,Classic,Black,Rarely,Sneakers,Bottoms,Sports/Fitness,Value-for-money,Oversized,Wool,All-season,Unisex,Footwear,Running Sneakers
25–34,Sporty,Bright,Monthly,T-shirt,Bottoms,Events/Parties,Eco-friendly,Oversized,Polyester,Winter,Unisex,Tops,Plain Cotton T-shirt
25–34,Trendy,Black,Monthly,Jacket,Tops,Work,Value-for-money,Oversized,Linen,Summer,Unisex,Outerwear,Jacket
25–34,Professional,Neutral,Monthly,Shirt,Outerwear,Travel,Comfort,Regular,Cotton,Winter,Unisex,Tops,Shirt
35–44,Professional,Bright,Weekly,Hoodie,Bottoms,Sports/Fitness,Eco-friendly,Slim,Cotton,Summer,Women,Tops,Hoodie
Under 18,Classic,Neutral,Every 2–3 months,Shirt,Accessories,Casual Outings,Designer,Slim,Cotton,All-season,Unisex,Tops,Shirt
35–44,Trendy,Blue,Monthly,T-shirt,Tops,Sports/Fitness,Comfort,Regular,Polyester,Winter,Unisex,Tops,Graphic T-shirt
25–34,Classic,Bright,Weekly,Watch,Tops,Casual Outings,Comfort,Regular,Polyester,Summer,Unisex,Tops,Analog Watch
Under 18,Casual,Red,Monthly,Shirt,Accessories,Sports/Fitness,Designer,Regular,Cotton,Summer,Unisex,Tops,Shirt
35–44,Classic,Black,Monthly,Cap,Outerwear,Events/Parties,Comfort,Regular,Polyester,All-season,Unisex,Accessories,Cap
35–44,Classic,White,Weekly,Sneakers,Accessories,Events/Parties,Eco-friendly,Oversized,Blended,All-season,Unisex,Footwear,Casual Sneakers
25–34,Professional,Grey,Every 2–3 months,T-shirt,Outerwear,Events/Parties,Value-for-money,Slim,Blended,All-season,Unisex,Tops,Plain Cotton T-shirt
Under 18,Professional,Black,Every 2–3 months,Watch,Accessories,Work,Comfort,Oversized,Polyester,Winter,Unisex,Accessories,Formal Shirt
25–34,Professional,Black,Rarely,Cap,Accessories,Casual Outings,Eco-friendly,Slim,Cotton,Summer,Unisex,Tops,Cap
Under 18,Casual,Blue,Weekly,Hoodie,Footwear,Events/Parties,Trendy,Slim,Polyester,All-season,Men,Footwear,Hoodie
45+,Professional,Red,Rarely,Watch,Tops,Work,Eco-friendly,Regular,Polyester,Winter,Unisex,Accessories,Formal Shirt
18–24,Trendy,Grey,Rarely,Jeans,Accessories,Casual Outings,Value-for-money,Oversized,Polyester,Winter,Unisex,Tops,Jeans
18–24,Sporty,Bright,Rarely,Cap,Accessories,Sports/Fitness,Eco-friendly,Regular,Linen,Winter,Unisex,Accessories,Cap
18–24,Trendy,Bright,Every 2–3 months,Cap,Bottoms,Work,Designer,Oversized,Blended,All-season,Women,Accessories,Cap
25–34,Trendy,Bright,Weekly,Sneakers,Tops,Travel,Value-for-money,Slim,Wool,All-season,Women,Footwear,Casual Sneakers
45+,Professional,Neutral,Rarely,T-shirt,Bottoms,Work,Trendy,Regular,Wool,Summer,Unisex,Tops,Plain Cotton T-shirt
Under 18,Sporty,Neutral,Weekly,Hoodie,Tops,Work,Designer,Regular,Linen,Summer,Unisex,Tops,Hoodie
35–44,Sporty,White,Weekly,Sneakers,Bottoms,Casual Outings,Eco-friendly,Slim,Polyester,All-season,Unisex,Footwear,Casual Sneakers
Under 18,Sporty,Grey,Every 2–3 months,Watch,Accessories,Sports/Fitness,Value-for-money,Slim,Linen,Winter,Unisex,Accessories,Smartwatch
35–44,Casual,Bright,Rarely,Sneakers,Accessories,Travel,Trendy,Slim,Linen,Winter,Unisex,Footwear,Casual Sneakers
Under 18,Professional,Neutral,Rarely,Cap,Footwear,Events/Parties,Designer,Regular,Cotton,Winter,Unisex,Footwear,Cap
45+,Sporty,White,Weekly,T-shirt,Bottoms,Events/Parties,Trendy,Oversized,Blended,Summer,Unisex,Tops,Plain Cotton T-shirt
35–44,Casual,Red,Monthly,Jacket,Outerwear,Work,Eco-friendly,Regular,Wool,Winter,Unisex,Outerwear,Jacket
25–34,Classic,White,Every 2–3 months,Sneakers,Footwear,Casual Outings,Trendy,Oversized,Polyester,Summer,Unisex,Footwear,Casual Sneakers
Under 18,Classic,Neutral,Every 2–3 months,Jeans,Bottoms,Casual Outings,Comfort,Regular,Wool,Summer,Unisex,Tops,Jeans
Under 18,Casual,Blue,Every 2–3 months,Sneakers,Bottoms,Events/Parties,Designer,Regular,Wool,Winter,Men,Footwear,Casual Sneakers
35–44,Casual,Blue,Every 2–3 months,Watch,Footwear,Travel,Trendy,Slim,Blended,Winter,Men,Footwear,Smartwatch
25–34,Professional,Bright,Rarely,Watch,Accessories,Sports/Fitness,Eco-friendly,Oversized,Wool,All-season,Women,Accessories,Analog Watch
25–34,Professional,Blue,Rarely,Hoodie,Bottoms,Travel,Eco-friendly,Regular,Wool,All-season,Unisex,Tops,Hoodie
45+,Classic,Bright,Monthly,Watch,Accessories,Sports/Fitness,Trendy,Regular,Linen,Winter,Unisex,Accessories,Analog Watch
25–34,Sporty,Bright,Every 2–3 months,Shirt,Footwear,Events/Parties,Eco-friendly,Slim,Blended,Summer,Unisex,Footwear,Shirt
25–34,Classic,Neutral,Every 2–3 months,T-shirt,Accessories,Sports/Fitness,Value-for-money,Slim,Cotton,Summer,Unisex,Tops,Plain Cotton T-shirt
25–34,Sporty,Blue,Weekly,T-shirt,Tops,Casual Outings,Value-for-money,Oversized,Polyester,Summer,Unisex,Tops,Plain Cotton T-shirt
18–24,Sporty,Bright,Rarely,Jacket,Outerwear,Work,Value-for-money,Regular,Wool,Summer,Unisex,Outerwear,Jacket
45+,Professional,Grey,Every 2–3 months,Jacket,Bottoms,Work,Comfort,Oversized,Polyester,Summer,Unisex,Bottoms,Formal Shirt
Under 18,Trendy,Red,Monthly,T-shirt,Outerwear,Events/Parties,Trendy,Regular,Cotton,All-season,Unisex,Tops,Graphic T-shirt
35–44,Trendy,White,Monthly,Jeans,Accessories,Casual Outings,Comfort,Oversized,Polyester,Winter,Unisex,Tops,Jeans
Under 18,Casual,White,Rarely,Jacket,Bottoms,Travel,Eco-friendly,Slim,Cotton,All-season,Unisex,Outerwear,Jacket
45+,Professional,Neutral,Monthly,Hoodie,Accessories,Casual Outings,Comfort,Regular,Linen,Summer,Unisex,Tops,Hoodie
35–44,Sporty,Blue,Monthly,Watch,Tops,Work,Eco-friendly,Oversized,Wool,Summer,Unisex,Accessories,Smartwatch
45+,Trendy,Blue,Rarely,T-shirt,Footwear,Work,Eco-friendly,Slim,Cotton,Summer,Unisex,Footwear,Graphic T-shirt
25–34,Sporty,Bright,Every 2–3 months,Cap,Bottoms,Casual Outings,Designer,Slim,Polyester,Summer,Unisex,Tops,Cap
35–44,Trendy,Black,Every 2–3 months,Jacket,Tops,Casual Outings,Value-for-money,Oversized,Wool,Winter,Unisex,Tops,Jacket
25–34,Trendy,Bright,Monthly,T-shirt,Tops,Work,Eco-friendly,Regular,Linen,Summer,Unisex,Tops,Graphic T-shirt
Under 18,Trendy,Red,Monthly,Shirt,Bottoms,Travel,Designer,Regular,Wool,Winter,Unisex,Tops,Shirt
Under 18,Professional,Grey,Every 2–3 months,Sneakers,Accessories,Events/Parties,Value-for-money,Slim,Cotton,Summer,Unisex,Footwear,Casual Sneakers
35–44,Classic,White,Rarely,Watch,Tops,Events/Parties,Eco-friendly,Regular,Linen,Winter,Unisex,Accessories,Analog Watch
35–44,Sporty,Bright,Monthly,T-shirt,Outerwear,Casual Outings,Eco-friendly,Regular,Polyester,All-season,Unisex,Tops,Plain Cotton T-shirt
45+,Professional,Black,Weekly,Sneakers,Tops,Events/Parties,Comfort,Regular,Linen,Summer,Unisex,Footwear,Casual Sneakers
45+,Professional,Black,Rarely,Jacket,Accessories,Work,Comfort,Slim,Linen,Winter,Unisex,Accessories,Formal Shirt
25–34,Professional,Bright,Monthly,Sneakers,Accessories,Work,Value-for-money,Oversized,Blended,All-season,Women,Footwear,Casual Sneakers
35–44,Professional,Neutral,Monthly,Watch,Outerwear,Casual Outings,Eco-friendly,Regular,Linen,Summer,Unisex,Tops,Analog Watch
Under 18,Professional,White,Weekly,T-shirt,Tops,Casual Outings,Trendy,Slim,Linen,Summer,Unisex,Tops,Plain Cotton T-shirt
